# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  125       5.358367385803e-10       1.496439373847e-13      -5.444656637590e-12       4.370290546450e-16       3.836042111493e-12       9.089872136651e-13      -5.490597607279e-15 
  126       5.411764721478e-10       1.510559478789e-13      -5.529067694899e-12       4.443781488445e-16       3.746739366805e-12       8.954004632544e-13      -5.436417005315e-15 
  127       5.465270012617e-10       1.524175398602e-13      -5.612161659733e-12       4.518041612104e-16       3.660025659453e-12       8.821125335888e-13      -5.382343711869e-15 
  128       5.518875311730e-10       1.537275031936e-13      -5.693868057511e-12       4.593076662621e-16       3.575868682815e-12       8.691194460623e-13      -5.328326949145e-15 
  129       5.572571926801e-10       1.549846598086e-13      -5.774116330186e-12       4.668892437001e-16       3.494222394045e-12       8.564152488135e-13      -5.274307415303e-15 
  130       5.626350400362e-10       1.561878648675e-13      -5.852835862140e-12       4.745494783617e-16       3.415026649366e-12       8.439919630853e-13      -5.220217063192e-15 
  131       5.680200488568e-10       1.573360079346e-13      -5.929956006068e-12       4.822889601771e-16       3.338206839362e-12       8.318395295837e-13      -5.165978879095e-15 
  132       5.734111140274e-10       1.584280141435e-13      -6.005406108866e-12       4.901082841251e-16       3.263673524267e-12       8.199457548373e-13      -5.111506661467e-15 
  133       5.788070476108e-10       1.594628453666e-13      -6.079115537522e-12       4.980080501894e-16       3.191322069261e-12       8.082962575566e-13      -5.056704799677e-15 
  134       5.842065767550e-10       1.604395013827e-13      -6.151013705000e-12       5.059888633140e-16       3.121032279757e-12       7.968744149931e-13      -5.001468052746e-15 
  135       5.896083416000e-10       1.613570210460e-13      -6.221030096129e-12       5.140513333594e-16       3.052668036698e-12       7.856613092988e-13      -4.945681328090e-15 
  136       5.950108931861e-10       1.622144834543e-13      -6.289094293495e-12       5.221960750583e-16       2.986076931843e-12       7.746356738851e-13      -4.889219460258e-15 
  137       6.004128311030e-10       1.630110481315e-13      -6.355136800359e-12       5.304237255253e-16       2.921122069161e-12       7.637789143946e-13      -4.831983608885e-15 
  138       6.058132369451e-10       1.637460777954e-13      -6.419091550743e-12       5.387349989226e-16       2.857781955037e-12       7.530908715525e-13      -4.774015171750e-15 
  139       6.112112819515e-10       1.644190305688e-13      -6.480893709381e-12       5.471306373933e-16       2.796060301240e-12       7.425755953300e-13      -4.715393294706e-15 
  140       6.166060900939e-10       1.650294235075e-13      -6.540478928650e-12       5.556113940830e-16       2.735954627228e-12       7.322363954548e-13      -4.656199321189e-15 
  141       6.219967368706e-10       1.655768340165e-13      -6.597783379514e-12       5.641780332063e-16       2.677456099605e-12       7.220758199799e-13      -4.596516803389e-15 
  142       6.273822481018e-10       1.660609012663e-13      -6.652743782474e-12       5.728313301145e-16       2.620549371577e-12       7.120956338522e-13      -4.536431513420e-15 
  143       6.327615987235e-10       1.664813276086e-13      -6.705297438512e-12       5.815720713631e-16       2.565212422406e-12       7.022967974812e-13      -4.476031454486e-15 
  144       6.381337115821e-10       1.668378799927e-13      -6.755382260043e-12       5.904010547786e-16       2.511416396872e-12       6.926794453082e-13      -4.415406872056e-15 
  145       6.434974562289e-10       1.671303913814e-13      -6.802936801854e-12       5.993190895264e-16       2.459125444723e-12       6.832428643747e-13      -4.354650265026e-15 
  146       6.488516477147e-10       1.673587621669e-13      -6.847900292057e-12       6.083269961777e-16       2.408296560132e-12       6.739854728916e-13      -4.293856396898e-15 
