# l   Dl_TT   Dl_TE   Dl_EE
2.260000000000000000e+02 7.008399016732563496e+02 3.686978015509967399e+00 1.494236750382638423e-01
2.270000000000000000e+02 7.000004970999793841e+02 3.899953725217132128e+00 1.546264650901005011e-01
2.280000000000000000e+02 6.990808283158571612e+02 4.113346501860648985e+00 1.600759044580431778e-01
2.290000000000000000e+02 6.980812437811005111e+02 4.327072079825137862e+00 1.657746660646073344e-01
2.300000000000000000e+02 6.970021212745606363e+02 4.541044522039555886e+00 1.717253815931052696e-01
2.310000000000000000e+02 6.958438681712063953e+02 4.755176209065393955e+00 1.779306406085934822e-01
2.320000000000000000e+02 6.946069217196021555e+02 4.969377828184893708e+00 1.843929896788200073e-01
2.330000000000000000e+02 6.932917493193851897e+02 5.183558362489253390e+00 1.911149314951720302e-01
2.340000000000000000e+02 6.918988487987425060e+02 5.397625079966828388e+00 1.980989239936228608e-01
2.350000000000000000e+02 6.904287486918880177e+02 5.611483522591347750e+00 2.053473794756795479e-01
2.360000000000000000e+02 6.888820085165410774e+02 5.825037495410116506e+00 2.128626637293300761e-01
2.370000000000000000e+02 6.872592190514028516e+02 6.038189055632221525e+00 2.206470951499908961e-01
2.380000000000000000e+02 6.855610026136333772e+02 6.250838501716745377e+00 2.287029438614541776e-01
2.390000000000000000e+02 6.837880133363298683e+02 6.462884362460965981e+00 2.370324308368350896e-01
2.400000000000000000e+02 6.819409374460036588e+02 6.674223386088572241e+00 2.456377270195193863e-01
2.410000000000000000e+02 6.800204935400574868e+02 6.884750529337861025e+00 2.545209524441104931e-01
2.420000000000000000e+02 6.780274328642625505e+02 7.094358946549956357e+00 2.636841753573769820e-01
2.430000000000000000e+02 6.759625395902362470e+02 7.302939978757005512e+00 2.731294113392001011e-01
2.440000000000000000e+02 6.738266310929197971e+02 7.510383142770392872e+00 2.828586224235207780e-01
2.450000000000000000e+02 6.716205582280548469e+02 7.716576120268952899e+00 2.928737162192873167e-01
2.460000000000000000e+02 6.693452056096616616e+02 7.921404746887161785e+00 3.031765450314024557e-01
2.470000000000000000e+02 6.670014918875150443e+02 8.124753001303355759e+00 3.137689049816709819e-01
2.480000000000000000e+02 6.645903700246237804e+02 8.326502994327940499e+00 3.246525351297468442e-01
2.490000000000000000e+02 6.621128275747059888e+02 8.526534957991589891e+00 3.358291165940806566e-01
2.500000000000000000e+02 6.595698476120924170e+02 8.724734973109226743e+00 3.472999416746965218e-01
2.510000000000000000e+02 6.569622884482288327e+02 8.921018669057938055e+00 3.590649018597429354e-01
2.520000000000000000e+02 6.542909975110943606e+02 9.115308870806618557e+00 3.711234396971765381e-01
2.530000000000000000e+02 6.515568502692076436e+02 9.307527987402750114e+00 3.834748720343892914e-01
2.540000000000000000e+02 6.487607504338585613e+02 9.497598015859312071e+00 3.961183885080851730e-01
2.550000000000000000e+02 6.459036301613389242e+02 9.685440545041638316e+00 4.090530500341542641e-01
2.560000000000000000e+02 6.429864502551736223e+02 9.870976759554336510e+00 4.222777872975485569e-01
2.570000000000000000e+02 6.400102003683521161e+02 1.005412744362814337e+01 4.357913992421566518e-01
2.580000000000000000e+02 6.369758992055582212e+02 1.023481298500684034e+01 4.495925515606793987e-01
2.590000000000000000e+02 6.338845947254020530e+02 1.041295337883410532e+01 4.636797751845043725e-01
2.600000000000000000e+02 6.307373643426509489e+02 1.058846823154043548e+01 4.780514647735819578e-01
2.610000000000000000e+02 6.275353151304600487e+02 1.076127676473000427e+01 4.927058772062994918e-01
2.620000000000000000e+02 6.242795840226033306e+02 1.093129781906756115e+01 5.076411300693569606e-01
2.630000000000000000e+02 6.209713380157052143e+02 1.109844985816531704e+01 5.228552001476426403e-01
