# l   Dl_TT   Dl_TE   Dl_EE
1.390000000000000000e+02 5.310290268785327044e+02 -5.772404480692451045e+00 1.425849820287992398e-01
1.400000000000000000e+02 5.353748747326807234e+02 -5.779019809442694111e+00 1.418879463898783388e-01
1.410000000000000000e+02 5.396947739556376291e+02 -5.782133130905286578e+00 1.411252256771711733e-01
1.420000000000000000e+02 5.439868208792407813e+02 -5.781695463343428543e+00 1.402984349089294591e-01
1.430000000000000000e+02 5.482490365299117911e+02 -5.777659810914992811e+00 1.394093304072865080e-01
1.440000000000000000e+02 5.524795120586779831e+02 -5.769981420578487175e+00 1.384597795113333141e-01
1.450000000000000000e+02 5.566768642706052788e+02 -5.758618465784533846e+00 1.374516610959772567e-01
1.460000000000000000e+02 5.608398224397166132e+02 -5.743531534567610564e+00 1.363869599319335046e-01
1.470000000000000000e+02 5.649670848428613681e+02 -5.724683488848224755e+00 1.352678008618168060e-01
1.480000000000000000e+02 5.690573181447334719e+02 -5.702039520339162948e+00 1.340964511010565574e-01
1.490000000000000000e+02 5.731091567828908637e+02 -5.675567206451737512e+00 1.328753225388123738e-01
1.500000000000000000e+02 5.771212023527730253e+02 -5.645236566202025408e+00 1.316069740388891851e-01
1.510000000000000000e+02 5.810920229927198761e+02 -5.611020116117119372e+00 1.302941137406526673e-01
1.520000000000000000e+02 5.850201527689905561e+02 -5.572892926141370218e+00 1.289396013599445057e-01
1.530000000000000000e+02 5.889040910607814112e+02 -5.530832675542628252e+00 1.275464504899976870e-01
1.540000000000000000e+02 5.927423019452446624e+02 -5.484819708818492678e+00 1.261178309023518740e-01
1.550000000000000000e+02 5.965332135825069599e+02 -5.434837091602553016e+00 1.246570708477686279e-01
1.560000000000000000e+02 6.002752176006879381e+02 -5.380870666570634064e+00 1.231676593571466860e-01
1.570000000000000000e+02 6.039666684809183153e+02 -5.322909109347044421e+00 1.216532485424374477e-01
1.580000000000000000e+02 6.076058829423590169e+02 -5.260943984410811680e+00 1.201176558975600162e-01
1.590000000000000000e+02 6.111911393272191617e+02 -5.194969801001938059e+00 1.185648665993167400e-01
1.600000000000000000e+02 6.147206769857745030e+02 -5.124984069027640032e+00 1.169990358083084353e-01
