# k [1/Mpc]   d_b d_idm_drmd  d_ncdm[0] 
1.420291922568979980e-02 1.198448829325067891e+03 1.199963943110270748e+03 1.199963923353547671e+03 1.353744805209813649e+02
1.434095870220669817e-02 1.216553067790958039e+03 1.218119828894064312e+03 1.218119808385289389e+03 1.357552751030648324e+02
1.447903506140608802e-02 1.234707248399436367e+03 1.236326888423678383e+03 1.236326867142153787e+03 1.361253417886429986e+02
1.461714843160612926e-02 1.252910459110368947e+03 1.254584203745513378e+03 1.254584181670204543e+03 1.364873083131050464e+02
1.475529896475122858e-02 1.271161033135393154e+03 1.272890119437955718e+03 1.272890096547479970e+03 1.368425913088053107e+02
1.489348683602531413e-02 1.289456949683614084e+03 1.291242641435645282e+03 1.291242617708273428e+03 1.371908160333986473e+02
1.503171224350279694e-02 1.307796717175662252e+03 1.309640285611282252e+03 1.309640261024941537e+03 1.375298945540138504e+02
1.516997540783534409e-02 1.326178958897927259e+03 1.328081684025759841e+03 1.328081658558028494e+03 1.378566481976361047e+02
1.530827657197269577e-02 1.344601958914672423e+03 1.346565139002029582e+03 1.346565112630135900e+03 1.381678857775753499e+02
1.544661600091591473e-02 1.363064160079504973e+03 1.365089101731351320e+03 1.365089074432165717e+03 1.384616080818591115e+02
1.558499398150161447e-02 1.381564112436088863e+03 1.383652136037617311e+03 1.383652107787670047e+03 1.387377531029281670e+02
1.572341082221571928e-02 1.400100148917031902e+03 1.402252587983580497e+03 1.402252558759041449e+03 1.389982173328936312e+02
1.586186685303556804e-02 1.418670738640067839e+03 1.420888943075696716e+03 1.420888912852384692e+03 1.392462593391105656e+02
1.600036242529910210e-02 1.437274350023518082e+03 1.439559708875641036e+03 1.439559677629008320e+03 1.394854278610377207e+02
1.613889791160015921e-02 1.455910193683545458e+03 1.458264015966411534e+03 1.458263983671570031e+03 1.397185477077463815e+02
1.627747370570877677e-02 1.474576103718527520e+03 1.476999779385244210e+03 1.476999746016937024e+03 1.399468221219125894e+02
1.641609022251569461e-02 1.493270674923339811e+03 1.495765605511140848e+03 1.495765571043751152e+03 1.401698555762221758e+02
1.655474789800011684e-02 1.511992892060108943e+03 1.514560478231107709e+03 1.514560442638662380e+03 1.403859737013042093e+02
1.669344718922005297e-02 1.530740743121839387e+03 1.533382419277620102e+03 1.533382382533792907e+03 1.405927641595118018e+02
1.683218857432447826e-02 1.549513626712787072e+03 1.552230776422140252e+03 1.552230738500229108e+03 1.407880050593268777e+02
1.697097255258669946e-02 1.568309603655491856e+03 1.571103678495853956e+03 1.571103639368802533e+03 1.409699873278540565e+02
1.710979964445834278e-02 1.587127464760630119e+03 1.589999899073294273e+03 1.589999858713676304e+03 1.411379948314832404e+02
1.724867039164339547e-02 1.605965670755424526e+03 1.608917948976049047e+03 1.608917907356070828e+03 1.412922882341541140e+02
1.738758535719189119e-02 1.624823323396566138e+03 1.627856892434619112e+03 1.627856849526140650e+03 1.414340718267205261e+02
1.752654512561274691e-02 1.643699230724933386e+03 1.646815531640901099e+03 1.646815487415392909e+03 1.415651929418887676e+02
1.766555030300539023e-02 1.662591160517367825e+03 1.665791707787715495e+03 1.665791662216295208e+03 1.416877649030911641e+02
1.780460151720983722e-02 1.681499574583708181e+03 1.684785838123730400e+03 1.684785791177135934e+03 1.418040856858939947e+02
1.794369941797494331e-02 1.700420991177318911e+03 1.703794509572211837e+03 1.703794461220822541e+03 1.419156573575211553e+02
1.808284467714448701e-02 1.719356408976806279e+03 1.722818626506674491e+03 1.722818576720494548e+03 1.420234920982905180e+02
1.822203798886094100e-02 1.738302686152480192e+03 1.741855176592089038e+03 1.741855125340747691e+03 1.421271816971155317e+02
1.836128006978673607e-02 1.757259842376653296e+03 1.760904095916121378e+03 1.760904043168884527e+03 1.422254964174933605e+02
1.850057165934278908e-02 1.776226706980480230e+03 1.779964248260998602e+03 1.779964193986751070e+03 1.423163754941703303e+02
1.863991351996426016e-02 1.795201467113529816e+03 1.799033849289253567e+03 1.799033793456510921e+03 1.423975450650421806e+02
1.877930643737338312e-02 1.814184306911121666e+03 1.818113015079994284e+03 1.818112957656900790e+03 1.424673932301207913e+02
1.891875122086934813e-02 1.833171933639479903e+03 1.837198583093739444e+03 1.837198524048068293e+03 1.425251112175448895e+02
1.905824870363516735e-02 1.852165417118740152e+03 1.856291508652728226e+03 1.856291447951861073e+03 1.425715168399450761e+02
1.919779974306155476e-02 1.871162043481164346e+03 1.875389186315811912e+03 1.875389123926768889e+03 1.426082652504527744e+02
1.933740522108782361e-02 1.890161139411025943e+03 1.894490906699503967e+03 1.894490842588922533e+03 1.426377247199894498e+02
1.947706604455983620e-02 1.909162763326399499e+03 1.913596671269348462e+03 1.913596605403485910e+03 1.426621278177999841e+02
1.961678314560510311e-02 1.928163850867947531e+03 1.932703576796483731e+03 1.932703509141218774e+03 1.426826327341463809e+02
