# l   cl_TT   cl_TE   cl_EE
2.260000000000000000e+02 6.937041948183333488e+02 3.771594013207807627e+00 1.508706154930776200e-01
2.270000000000000000e+02 6.928126365821336776e+02 3.983624752485468434e+00 1.561753469464246535e-01
2.280000000000000000e+02 6.918412014032609250e+02 4.196006938907007822e+00 1.617279448475004988e-01
2.290000000000000000e+02 6.907902578618239886e+02 4.408655996410972833e+00 1.675310005837510607e-01
2.300000000000000000e+02 6.896602041896752553e+02 4.621485700434723398e+00 1.735870613767079851e-01
2.310000000000000000e+02 6.884514685503282863e+02 4.834408167349757868e+00 1.798986293721479557e-01
2.320000000000000000e+02 6.871645093188792544e+02 5.047333843897026107e+00 1.864681607302522137e-01
2.330000000000000000e+02 6.857998153619257664e+02 5.260171496622261245e+00 1.932980647157660492e-01
2.340000000000000000e+02 6.843579063174860266e+02 5.472828201311297214e+00 2.003907027881580427e-01
2.350000000000000000e+02 6.828393328749192506e+02 5.685209332425385398e+00 2.077483876917797234e-01
2.360000000000000000e+02 6.812446770548446011e+02 5.897218552536527270e+00 2.153733825460249773e-01
2.370000000000000000e+02 6.795745524890608067e+02 6.108757801762781270e+00 2.232678999354893723e-01
2.380000000000000000e+02 6.778296047004661204e+02 6.319727287203603439e+00 2.314341010001297327e-01
2.390000000000000000e+02 6.760105113829778247e+02 6.530025472375148077e+00 2.398740945254235202e-01
2.400000000000000000e+02 6.741179826814515081e+02 6.739549066645605713e+00 2.485899360325284912e-01
2.410000000000000000e+02 6.721527614716011385e+02 6.948193014670517975e+00 2.575836268684415509e-01
2.420000000000000000e+02 6.701156236399174304e+02 7.155850485828099572e+00 2.668571132961590209e-01
2.430000000000000000e+02 6.680073783635892823e+02 7.362412863654557604e+00 2.764122855848354376e-01
2.440000000000000000e+02 6.658288683904220306e+02 7.567769735279416210e+00 2.862509770999431269e-01
2.450000000000000000e+02 6.635809703187575224e+02 7.771808880860848312e+00 2.963749633934320560e-01
2.460000000000000000e+02 6.612645948773928239e+02 7.974416263020970952e+00 3.067859612938887981e-01
2.470000000000000000e+02 6.588806872055015447e+02 8.175476016281191249e+00 3.174856279966961070e-01
2.480000000000000000e+02 6.564302271325514084e+02 8.374870436497518611e+00 3.284755601541923253e-01
2.490000000000000000e+02 6.539142294582256909e+02 8.572479970295887597e+00 3.397572929658312368e-01
2.500000000000000000e+02 6.513337025964644909e+02 8.768190976146572169e+00 3.513319741749831304e-01
2.510000000000000000e+02 6.486895212830570472e+02 8.961919526101675970e+00 3.631993670730451207e-01
2.520000000000000000e+02 6.459825470641451375e+02 9.153588957424718231e+00 3.753587881794579473e-01
2.530000000000000000e+02 6.432136694702028308e+02 9.343122228852056566e+00 3.878094256331201528e-01
2.540000000000000000e+02 6.403838062163358700e+02 9.530441924890347138e+00 4.005503376608569588e-01
2.550000000000000000e+02 6.374939034025766205e+02 9.715470260113921341e+00 4.135804510458853667e-01
2.560000000000000000e+02 6.345449357141820883e+02 9.898129083462231748e+00 4.268985595962823121e-01
2.570000000000000000e+02 6.315379066219323931e+02 1.007833988253727675e+01 4.405033226134516533e-01
2.580000000000000000e+02 6.284738485824257168e+02 1.025602378790100033e+01 4.543932633605902160e-01
2.590000000000000000e+02 6.253538232383768900e+02 1.043110157737272914e+01 4.685667675311556146e-01
2.600000000000000000e+02 6.221789216189145009e+02 1.060349368032658290e+01 4.830220817173330183e-01
2.610000000000000000e+02 6.189502643398775490e+02 1.077312018198890264e+01 4.977573118785019179e-01
2.620000000000000000e+02 6.156690018041127814e+02 1.093990082773566108e+01 5.127704218097032252e-01
2.630000000000000000e+02 6.123363144017722561e+02 1.110375502738989617e+01 5.280592316101061501e-01
