# l   cl_TT   cl_TE   cl_EE
1.290000000000000000e+02 4.973337201835535666e+02 -5.161255446665243163e+00 1.347661960375367285e-01
1.300000000000000000e+02 5.019822836965022930e+02 -5.226334920175222720e+00 1.356907533064932170e-01
1.310000000000000000e+02 5.066328829915887582e+02 -5.289801302439764541e+00 1.365640678630694049e-01
1.320000000000000000e+02 5.112848122055012254e+02 -5.351593898391898918e+00 1.373853880616815459e-01
1.330000000000000000e+02 5.159373111731612198e+02 -5.411652336205600378e+00 1.381540070997563652e-01
1.340000000000000000e+02 5.205895639251534703e+02 -5.469916596446426027e+00 1.388692642712014425e-01
1.350000000000000000e+02 5.252406971851553408e+02 -5.526327041222174330e+00 1.395305462198749014e-01
1.360000000000000000e+02 5.298897788673669993e+02 -5.580824443333538554e+00 1.401372881930559033e-01
1.370000000000000000e+02 5.345358165739410197e+02 -5.633350015424738899e+00 1.406889752949145034e-01
1.380000000000000000e+02 5.391777560924124373e+02 -5.683845439134194599e+00 1.411851437399817277e-01
1.390000000000000000e+02 5.438144798931277819e+02 -5.732252894245148056e+00 1.416253821066198459e-01
1.400000000000000000e+02 5.484448056266761569e+02 -5.778515087836336050e+00 1.420093325904921433e-01
1.410000000000000000e+02 5.530674846213177034e+02 -5.822575283432628979e+00 1.423366922580333038e-01
1.420000000000000000e+02 5.576812003804146798e+02 -5.864377330155678969e+00 1.426072142999193493e-01
1.430000000000000000e+02 5.622845670798600395e+02 -5.903865691874574217e+00 1.428207092845377169e-01
1.440000000000000000e+02 5.668762470069945039e+02 -5.940985982726484593e+00 1.429770691919740044e-01
1.450000000000000000e+02 5.714553190982162505e+02 -5.975686571640634881e+00 1.430763395402002702e-01
1.460000000000000000e+02 5.760209440470704294e+02 -6.007917192149383467e+00 1.431186567854555447e-01
1.470000000000000000e+02 5.805722478135148776e+02 -6.037628481999353980e+00 1.431042275523675411e-01
1.480000000000000000e+02 5.851083208049220730e+02 -6.064772015212263945e+00 1.430333300183454504e-01
